{'algo': 'lbfgs', 'min_freq': 0, 'all_state': True, 'all_transition': True, 'c1': 0, 'c2': 0}              precision    recall  f1-score   support
weighted avg     0.9930    0.9929    0.9929     44271


{'algo': 'lbfgs', 'min_freq': 0, 'all_state': False, 'all_transition': False, 'c1': 0, 'c2': 0.05}              precision    recall  f1-score   support

         per     0.7168    0.8504    0.7779       381
         org     0.4020    0.3796    0.3905       108
        misc     0.0833    0.0370    0.0513        27
         loc     0.8790    0.8094    0.8427       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9986    0.9981    0.9984     43414

   micro avg     0.9933    0.9933    0.9933     44271
   macro avg     0.5133    0.5124    0.5101     44271
weighted avg     0.9933    0.9933    0.9932     44271


{'algo': 'lbfgs', 'min_freq': 0, 'all_state': False, 'all_transition': False, 'c1': 0, 'c2': 0.1}              precision    recall  f1-score   support

         per     0.7238    0.8530    0.7831       381
         org     0.4100    0.3796    0.3942       108
        misc     0.1250    0.0370    0.0571        27
         loc     0.8688    0.8152    0.8411       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9986    0.9982    0.9984     43414

   micro avg     0.9934    0.9934    0.9934     44271
   macro avg     0.5210    0.5138    0.5123     44271
weighted avg     0.9933    0.9934    0.9933     44271
